[2017-01-19 22:28:30,577]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-19 22:44:39,849]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-19 22:44:40,008]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-19 22:44:40,010]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-19 22:44:44,339]-[AWT-EventQueue-0] INFO  wycc  - read file csv
[2017-01-19 22:44:44,521]-[AWT-EventQueue-0] INFO  wycc  - theSavefile Done : /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./tmp/tmp5264626019891554378.tmp
[2017-01-19 22:44:44,540]-[AWT-EventQueue-0] INFO  wycc  - /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava
[2017-01-19 22:44:44,541]-[AWT-EventQueue-0] INFO  wycc  - /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/.******
[2017-01-19 22:44:44,541]-[AWT-EventQueue-0] INFO  wycc  - jdbc:h2:/Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/db/wyccdb******
[2017-01-19 22:44:45,266]-[AWT-EventQueue-0] INFO  wycc  - delete from mvt
[2017-01-19 22:44:45,372]-[AWT-EventQueue-0] INFO  wycc  - read csv file into from mvt
[2017-01-19 22:44:45,497]-[AWT-EventQueue-0] INFO  wycc  - delete from mvt_num
[2017-01-19 22:44:45,596]-[AWT-EventQueue-0] INFO  wycc  - read csv file into from mvt
[2017-01-19 22:44:46,553]-[AWT-EventQueue-0] INFO  wycc  - DONE !
[2017-01-19 22:44:46,591]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog Création fileChooser
[2017-01-19 22:44:46,592]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog.setFileSelectionMode
[2017-01-19 22:44:46,594]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog.setAcceptAllFileFilterUsed
[2017-01-19 22:44:46,596]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog.setDialogTitle
[2017-01-19 22:45:09,603]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog.userSelection
[2017-01-19 22:45:10,649]-[AWT-EventQueue-0] INFO  wycc  - /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/documentstest/TEST10.XLSX
[2017-01-19 23:32:34,994]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-19 23:32:35,121]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-19 23:32:35,122]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-19 23:32:38,444]-[AWT-EventQueue-0] INFO  wycc  - read file csv
[2017-01-19 23:32:38,568]-[AWT-EventQueue-0] INFO  wycc  - theSavefile Done : /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./tmp/tmp9095082282901505855.tmp
[2017-01-19 23:32:38,588]-[AWT-EventQueue-0] INFO  wycc  - /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava
[2017-01-19 23:32:38,588]-[AWT-EventQueue-0] INFO  wycc  - /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/.******
[2017-01-19 23:32:38,588]-[AWT-EventQueue-0] INFO  wycc  - jdbc:h2:/Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/db/wyccdb******
[2017-01-19 23:32:39,027]-[AWT-EventQueue-0] INFO  wycc  - delete from mvt
[2017-01-19 23:32:39,078]-[AWT-EventQueue-0] INFO  wycc  - read csv file into from mvt
[2017-01-19 23:32:39,206]-[AWT-EventQueue-0] INFO  wycc  - delete from mvt_num
[2017-01-19 23:32:39,257]-[AWT-EventQueue-0] INFO  wycc  - read csv file into from mvt
[2017-01-19 23:32:39,912]-[AWT-EventQueue-0] INFO  wycc  - DONE !
[2017-01-19 23:32:39,957]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog Création fileChooser
[2017-01-19 23:32:39,961]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog.setFileSelectionMode
[2017-01-19 23:32:39,979]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog.setAcceptAllFileFilterUsed
[2017-01-19 23:32:39,981]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog.setDialogTitle
[2017-01-19 23:32:48,325]-[AWT-EventQueue-0] INFO  file  - showSaveFileDialog.userSelection
[2017-01-19 23:32:49,357]-[AWT-EventQueue-0] INFO  wycc  - /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/TEst11.xlsx
[2017-01-20 00:10:57,944]-[main] INFO  wycc  - CelluleTest
[2017-01-20 00:22:50,603]-[main] INFO  wycc  - CelluleTest
[2017-01-20 00:26:02,936]-[main] INFO  wycc  - CelluleTest
[2017-01-20 00:26:02,978]-[main] INFO  wycc  - {}
[2017-01-20 00:35:20,148]-[main] INFO  wycc  - Cellule
[2017-01-20 00:35:20,276]-[main] INFO  wycc  - {}
[2017-01-20 00:39:37,773]-[main] INFO  wycc  - CelluleClient:
[2017-01-20 00:39:37,914]-[main] INFO  wycc  - {}
[2017-01-21 17:46:28,613]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 17:46:28,792]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 17:46:28,793]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
